country_name,country_code,region,happy_rank,happy_score,happy_dec,happy_gdpc,gdpc_change,happy_supp,happy_health,happy_free,happy_gen,happy_trust,wb_pov,wb_unemp,wb_elec,wb_renew,wb_hom,wb_debt
Afghanistan,AFG,Southern Asia,154,3.203,1,0.350,0.051,0.517,0.361,0.000,0.158,0.03,,11.09,97.70,18.51,7.18,
Albania,ALB,Central and Eastern Europe,107,4.719,4,0.947,0.033,0.848,0.874,0.383,0.178,0.03,,11.47,100.00,40.11,2.26,75.7
Algeria,DZA,Middle East and Northern Africa,88,5.211,5,1.002,0.023,1.160,0.785,0.086,0.073,0.11,,10.50,99.50,0.16,1.22,
Argentina,ARG,Latin America and Caribbean,47,6.086,8,1.092,0.017,1.432,0.881,0.471,0.066,0.05,0.80,9.84,100.00,10.74,5.16,
Armenia,ARM,Central and Eastern Europe,116,4.559,3,0.850,0.040,1.055,0.815,0.283,0.095,0.06,1.00,12.20,100.00,10.34,2.59,50.03
Australia,AUS,Australia and New Zealand,11,7.228,10,1.372,0.023,1.548,1.036,0.557,0.332,0.29,,5.16,100.00,10.06,0.89,60.25
Austria,AUT,Western Europe,10,7.246,10,1.376,0.025,1.475,1.016,0.532,0.244,0.23,0.60,4.49,100.00,33.98,0.87,83.09
Azerbaijan,AZE,Central and Eastern Europe,90,5.208,5,1.043,0.018,1.147,0.769,0.351,0.035,0.18,,4.85,100.00,1.62,1.64,
Bahrain,BHR,Middle East and Northern Africa,37,6.199,8,1.362,0.018,1.368,0.871,0.536,0.255,0.11,,1.18,100.00,0.00,0.27,
Bangladesh,BGD,Southern Asia,125,4.456,2,0.562,0.053,0.928,0.723,0.527,0.166,0.14,,4.38,92.20,26.37,,
Belarus,BLR,Central and Eastern Europe,81,5.323,5,1.067,0.026,1.465,0.789,0.235,0.094,0.14,,4.16,100.00,7.81,2.33,33.24
Belgium,BEL,Western Europe,18,6.923,9,1.356,0.024,1.504,0.986,0.473,0.160,0.21,0.10,5.36,100.00,10.20,,103.38
Benin,BEN,Sub-Saharan Africa,102,4.883,4,0.393,0.038,0.437,0.397,0.349,0.175,0.08,,1.47,40.00,46.47,,
Bhutan,BTN,Southern Asia,95,5.082,4,0.813,0.021,1.321,0.604,0.457,0.370,0.17,,2.72,100.00,82.85,1.04,97.49
Bolivia,BOL,Latin America and Caribbean,61,5.779,7,0.776,0.032,1.209,0.706,0.511,0.137,0.06,1.90,3.68,95.08,13.52,4.22,
